k,inertia,silhouette
2,439223.85372827813,0.2683442499207759
3,384355.4893703036,0.19973166319761246
4,355524.11291687714,0.18723714955667456
5,333715.6734171106,0.15023691706317063
6,319824.8824557551,0.14162471620727451
7,308185.934268092,0.1346493084998569
8,298675.3045494115,0.1344594174961699
9,289811.1226287987,0.11773667802685359
10,281841.68103471724,0.11519653501324228
11,274564.8544211386,0.11403756444940627
12,269073.7697103228,0.11193947435959195
13,263092.1832350036,0.11282826631401505
14,257755.01184845448,0.11499954720587001
15,252512.67742298194,0.11836867292293708
